@cycle_counter=0 	HTRANS=IDLE 	HBURST=SINGLE 	HSIZE=Byte 	burst_length=x 	HWRITE=x 	HADDR=xxxxxxxx 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=x 	HRESP=OKAY 	data=xxxxxxxxxxxxxxxx 	data_buffer=xxxxxxxxxxxxxxxx 	@local_cycle_counter=0 

@cycle_counter=1 	HTRANS=NONSEQ 	HBURST=SINGLE 	HSIZE=Word 	burst_length=1 	HWRITE=0 	HADDR=00000005 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=070605xxxxxxxxxx 	data_buffer=xxxxxxxxxxxxxxxx 	@local_cycle_counter=0 

@cycle_counter=2 	HTRANS=NONSEQ 	HBURST=INCR4 	HSIZE=Doubleword 	burst_length=4 	HWRITE=1 	HADDR=00000002 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=070605xxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=070605040302xxxx 	data_buffer=070605xxxxxxxxxx 	@local_cycle_counter=1 
@cycle_counter=3 	HTRANS=SEQ 	HBURST=INCR4 	HSIZE=Doubleword 	burst_length=4 	HWRITE=1 	HADDR=00000008 	HWDATA=070605040302xxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=0f0e0d0c0b0a0908 	data_buffer=070605040302xxxx 	@local_cycle_counter=2 
@cycle_counter=4 	HTRANS=SEQ 	HBURST=INCR4 	HSIZE=Doubleword 	burst_length=4 	HWRITE=1 	HADDR=00000010 	HWDATA=0f0e0d0c0b0a0908 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=1716151413121110 	data_buffer=0f0e0d0c0b0a0908 	@local_cycle_counter=3 
@cycle_counter=5 	HTRANS=SEQ 	HBURST=INCR4 	HSIZE=Doubleword 	burst_length=4 	HWRITE=1 	HADDR=00000018 	HWDATA=1716151413121110 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=1f1e1d1c1b1a1918 	data_buffer=1716151413121110 	@local_cycle_counter=0 

@cycle_counter=6 	HTRANS=NONSEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000002 	HWDATA=1f1e1d1c1b1a1918 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx0302xxxx 	data_buffer=1f1e1d1c1b1a1918 	@local_cycle_counter=1 
@cycle_counter=7 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000004 	HWDATA=xxxxxxxx0302xxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=0f0e0d0cxxxxxxxx 	data_buffer=xxxxxxxx0302xxxx 	@local_cycle_counter=2 
@cycle_counter=8 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000008 	HWDATA=0f0e0d0cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx13121110 	data_buffer=0f0e0d0cxxxxxxxx 	@local_cycle_counter=3 
@cycle_counter=9 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=0000000c 	HWDATA=xxxxxxxx13121110 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=1f1e1d1cxxxxxxxx 	data_buffer=xxxxxxxx13121110 	@local_cycle_counter=4 
@cycle_counter=10 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000010 	HWDATA=1f1e1d1cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx23222120 	data_buffer=1f1e1d1cxxxxxxxx 	@local_cycle_counter=5 
@cycle_counter=11 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000014 	HWDATA=xxxxxxxx23222120 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=2f2e2d2cxxxxxxxx 	data_buffer=xxxxxxxx23222120 	@local_cycle_counter=6 
@cycle_counter=12 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=00000018 	HWDATA=2f2e2d2cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx33323130 	data_buffer=2f2e2d2cxxxxxxxx 	@local_cycle_counter=7 
@cycle_counter=13 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Word 	burst_length=8 	HWRITE=1 	HADDR=0000001c 	HWDATA=xxxxxxxx33323130 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=3f3e3d3cxxxxxxxx 	data_buffer=xxxxxxxx33323130 	@local_cycle_counter=0 

@cycle_counter=14 	HTRANS=NONSEQ 	HBURST=INCR4 	HSIZE=Word 	burst_length=4 	HWRITE=1 	HADDR=00000001 	HWDATA=3f3e3d3cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx030201xx 	data_buffer=3f3e3d3cxxxxxxxx 	@local_cycle_counter=1 
